Blue,Green,Red,Distance,Light,Color,ColorDetect,ColorNum
25.85,49.82,24.33,15,1,Green,Yes,1
23.62,50.75,25.64,18,1,Green,Yes,1
25.63,50.19,24.18,18,1,Green,Yes,1
25.65,50.23,24.11,18,1,Green,Yes,1
25.81,50.27,23.91,18,1,Green,Yes,1
25.7,49.87,24.42,18,1,Green,Yes,1
24.63,49.64,25.74,18,1,Green,Yes,1
24.06,49.39,26.54,18,1,Green,Yes,1
24.03,49.65,26.32,18,1,Green,Yes,1
24.06,50.31,25.64,18,1,Green,Yes,1
33.64,37.52,28.84,18,1,Green,Yes,1
31.58,39.77,28.65,21,1,Green,Yes,1
33.67,37.45,28.88,21,1,Green,Yes,1
31.62,39.41,28.97,21,1,Green,Yes,1
31.68,39.46,28.86,21,1,Green,Yes,1
33.75,37.63,28.62,21,1,Green,Yes,1
33.84,37.66,28.49,21,1,Green,Yes,1
31.82,39.66,28.52,21,1,Green,Yes,1
33.85,37.65,28.5,21,1,Green,Yes,1
33.86,37.64,28.51,21,1,Green,Yes,1
28.14,36.64,35.22,21,1,Green,Yes,1
28.03,36.75,35.22,24,1,Green,Yes,1
28.02,36.72,35.25,24,1,Green,Yes,1
28.04,36.74,35.22,24,1,Green,Yes,1
28.05,36.73,35.22,24,1,Green,Yes,1
28.11,36.67,35.22,24,1,Green,Yes,1
28.02,36.72,35.25,24,1,Green,Yes,1
28.2,36.61,35.19,24,1,Green,Yes,1
28.11,36.68,35.22,24,1,Green,Yes,1
28.14,36.68,35.18,24,1,Green,Yes,1
28.49,54.28,17.23,3,0,Green,Yes,1
27.04,56.31,16.65,3,0,Green,Yes,1
27.58,56,16.42,3,0,Green,Yes,1
27.45,56.03,16.52,3,0,Green,Yes,1
27.41,55.68,16.91,3,0,Green,Yes,1
27.4,56.21,16.39,3,0,Green,Yes,1
27.46,56,16.54,3,0,Green,Yes,1
27.45,55.87,16.68,3,0,Green,Yes,1
27.35,55.98,16.66,3,0,Green,Yes,1
27.02,56.38,16.6,3,0,Green,Yes,1
27.74,56.08,16.18,6,0,Green,Yes,1
27.25,56.47,16.27,6,0,Green,Yes,1
27.25,55.29,17.46,6,0,Green,Yes,1
27.15,56.41,16.44,6,0,Green,Yes,1
27.34,56.36,16.3,6,0,Green,Yes,1
27.02,56.98,16,6,0,Green,Yes,1
27.13,55.8,17.07,6,0,Green,Yes,1
27.4,56.42,16.18,6,0,Green,Yes,1
27.41,56.3,16.3,6,0,Green,Yes,1
27.31,56.42,16.27,6,0,Green,Yes,1
27.12,57.26,15.62,9,0,Green,Yes,1
26.98,57.35,15.67,9,0,Green,Yes,1
26.94,57.47,15.59,9,0,Green,Yes,1
